Group,Model,Records,ResolvedMediums,UnresolvedMediums,AmbiguousMediums,PieceCount,ConductingStatus,BFSPath
1,R0,12,12,0,0,12,NON_CONDUCTING,
1,R1,12,2,10,0,2,UNRESOLVED_MODEL,
1,R2,12,9,3,0,16,UNRESOLVED_MODEL,
2,R0,49,49,0,0,49,CONDUCTING,LEFT -> A2-1 -> A12-1 -> A24-1 -> A39-1 -> RIGHT
2,R1,49,11,38,0,11,UNRESOLVED_MODEL,
2,R2,49,33,16,0,55,UNRESOLVED_MODEL,
3,R0,535,535,0,0,535,CONDUCTING,LEFT -> A63-1 -> A264-1 -> A216-1 -> A351-1 -> RIGHT
3,R1,535,155,380,0,155,UNRESOLVED_MODEL,
3,R2,535,505,0,30,915,UNRESOLVED_MODEL,
