RecordType,MediumID,ExcelRow,ObservedP1,ObservedP2,ObservedLength,MissingLength,EnvelopeStart,EnvelopeEnd,EnvelopeLength,EnvelopePieceCount,BoundarySequence,MetricValue,Threshold,Pass,Details
ENVELOPE,A6,8,"-2262.03951829238;-250.253829283375;441.667836947413","-843.854487636523;-277.554922291578;500",1419.64670679088,3580.35329320912,"-5838.70645986303;-181.400390049126;294.553945099315","2732.81245393412;-346.408361525827;647.113891848098",8580.35329320912,2,"X",NaN,61.8,1,"Proof-only optimistic envelope; not a physical reconstruction."
ENVELOPE,A7,9,"-843.854487636523;-277.554922291578;-500","2732.81245393412;-346.408361525829;-352.886108151902",3580.35329320912,1419.64670679088,"-2262.03951829238;-250.253829283374;-558.332163052587","4150.99748458998;-373.709454534033;-294.553945099315",6419.64670679088,1,"NONE",NaN,61.8,1,"Proof-only optimistic envelope; not a physical reconstruction."
ENVELOPE,A11,13,"2656.52072494725;-500;434.928592307143","3660.68808804375;-338.712686789317;500",1019.11725459342,3980.88274540658,"-1265.96465270057;-1130.02159890772;180.746217378012","7583.17346569157;291.308912118405;754.182374929131",8980.88274540658,2,"X",NaN,61.8,1,"Proof-only optimistic envelope; not a physical reconstruction."
METRIC,,,,,NaN,NaN,,,NaN,0,"MIN_ENVELOPE_KNOWN_AXIS_DISTANCE",107.344730206884,61.8,1,"A8-1 vs A7-1"
METRIC,,,,,NaN,NaN,,,NaN,0,"MIN_ENVELOPE_ENVELOPE_AXIS_DISTANCE",245.656423416521,61.8,1,"A6-1 vs A11-1"
METRIC,,,,,NaN,NaN,,,NaN,0,"UPPER_BOUND_CONDUCTING",0,0,1,"0 certifies no LEFT-RIGHT path in optimistic supergraph."
