Group,Model,ParentA,ParentB,PieceA,PieceB,AxisDistance,CapsuleDistance,ExactDistance,CapsuleConnected,ExactConnected
2,M2,28,26,34,36,21.5837506657066,-38.4162493342934,0,1,1
2,M2,28,3,34,43,58.3628222923124,-1.63717770768763,0,1,1
2,M2,3,1,40,41,22.3994888619872,-37.6005111380128,0,1,1
2,M2,1,11,41,44,45.7677641130833,-14.2322358869167,0,1,1
2,M2,11,9,44,48,51.2703861960965,-8.7296138039035,0,1,1
2,M2,4,5,45,46,38.8426042996634,-21.1573957003366,0,1,1
3,M0,1,234,1,234,2.48388127475481,-57.5161187252452,0,1,1
3,M0,2,11,2,11,28.3609817785024,-31.6390182214976,0,1,1
3,M0,2,107,2,107,39.5970938475744,-20.4029061524256,0,1,1
3,M0,2,135,2,135,3.50174297594773,-56.4982570240523,0,1,1
3,M0,6,106,6,106,50.5851739741898,-9.41482602581019,0,1,1
3,M0,10,94,10,94,41.4321392304711,-18.5678607695289,0,1,1
3,M0,10,97,10,97,35.5663310110501,-24.4336689889499,0,1,1
3,M0,13,94,13,94,42.6014655650072,-17.3985344349928,0,1,1
3,M0,13,106,13,106,17.3953381344018,-42.6046618655982,0,1,1
3,M0,13,281,13,281,34.8579009813602,-25.1420990186398,0,1,1
3,M0,14,106,14,106,6.47117067564562,-53.5288293243544,0,1,1
3,M0,16,143,16,143,60.6514112062511,0.65141120625109,0.651411206267776,1,1
3,M0,21,36,21,36,32.6067186648203,-27.3932813351797,0,1,1
3,M0,23,119,23,119,17.7595591183695,-42.2404408816305,0,1,1
3,M0,29,156,29,156,57.7531825989781,-2.24681740102191,0,1,1
3,M0,31,32,31,32,21.6690882153175,-38.3309117846825,0,1,1
3,M0,32,207,32,207,11.208067023247,-48.791932976753,0,1,1
3,M0,33,138,33,138,23.0869297094121,-36.9130702905879,0,1,1
3,M0,46,114,46,114,26.1902684564598,-33.8097315435402,0,1,1
3,M0,50,131,50,131,41.2301921852901,-18.7698078147099,0,1,1
3,M0,57,155,57,155,34.2879407896581,-25.7120592103419,0,1,1
3,M0,63,264,63,264,56.7649958244215,-3.23500417557849,0,1,1
3,M0,65,122,65,122,13.9505795065394,-46.0494204934606,0,1,1
3,M0,67,96,67,96,22.7309740671356,-37.2690259328644,0,1,1
3,M0,72,183,72,183,15.2232950846474,-44.7767049153526,0,1,1
3,M0,76,100,76,100,42.938365603722,-17.061634396278,0,1,1
3,M0,77,205,77,205,31.4649037375362,-28.5350962624638,0,1,1
3,M0,79,122,79,122,60.7906647820018,0.790664782001826,0.79066478204588,1,1
3,M0,79,181,79,181,7.16867298121423,-52.8313270187858,0,1,1
3,M0,92,117,92,117,55.1530698039645,-4.84693019603551,0,1,1
3,M0,92,121,92,121,42.9687490304333,-17.0312509695667,0,1,1
3,M0,92,132,92,132,49.0382103498346,-10.9617896501654,0,1,1
3,M0,94,128,94,128,55.5243012508299,-4.47569874917011,0,1,1
3,M0,94,181,94,181,22.7884022180745,-37.2115977819255,0,1,1
3,M0,95,109,95,109,13.5722455829447,-46.4277544170553,0,1,1
3,M0,95,126,95,126,23.1958774985909,-36.8041225014091,0,1,1
3,M0,97,190,97,190,48.2581123327412,-11.7418876672588,0,1,1
3,M0,101,274,101,274,44.0259653595712,-15.9740346404288,0,1,1
3,M0,103,249,103,249,38.5714471837552,-21.4285528162448,0,1,1
3,M0,105,215,105,215,6.31648127031228,-53.6835187296877,0,1,1
3,M0,108,128,108,128,60.6696381011174,0.669638101117371,0.669638101117926,1,1
3,M0,109,113,109,113,2.32680964221361,-57.6731903577864,0,1,1
3,M0,110,132,110,132,3.42359142128292,-56.5764085787171,0,1,1
3,M0,115,135,115,135,36.9974063222664,-23.0025936777336,0,1,1
3,M0,117,164,117,164,21.9846553771493,-38.0153446228507,0,1,1
3,M0,117,184,117,184,48.4200721197756,-11.5799278802244,0,1,1
3,M0,118,138,118,138,12.033247097963,-47.966752902037,0,1,1
3,M0,119,123,119,123,4.84064581963682,-55.1593541803632,0,1,1
3,M0,121,128,121,128,45.7108805478984,-14.2891194521016,0,1,1
3,M0,121,161,121,161,56.4579456145658,-3.54205438543416,0,1,1
3,M0,124,161,124,161,38.9206120522946,-21.0793879477054,0,1,1
3,M0,124,234,124,234,28.8452418445635,-31.1547581554365,0,1,1
3,M0,131,156,131,156,5.72609773096728,-54.2739022690327,0,1,1
3,M0,132,181,132,181,53.9177421384114,-6.08225786158859,0,1,1
3,M0,133,169,133,169,26.845335949208,-33.154664050792,0,1,1
3,M0,134,159,134,159,55.2039734156121,-4.79602658438785,0,1,1
